"","datetime","city","country","shape"
"50816",2005-05-05,"burlington (canada)","ca","changing"
"62696",2004-07-14,"burlington (canada)","ca","changing"
"35992",2005-03-19,"burna","us","changing"
"3643",2009-10-20,"burnsville","us","changing"
"11931",2012-11-20,"butte","us","changing"
"20582",2006-12-16,"cadiz","us","changing"
"20583",2006-12-16,"cadiz","us","changing"
"25377",2014-01-25,"calgary (canada)","ca","changing"
"39913",2007-04-11,"calgary (canada)","ca","changing"
"22254",2006-12-23,"calistoga","us","changing"
"78960",2004-08-03,"camarillo","us","changing"
"78961",2004-08-03,"camarillo","us","changing"
"7058",2012-10-04,"cambridge (canada)","ca","changing"
"41539",2014-04-16,"cambridge (canada)","ca","changing"
"74307",1967-08-16,"camden","us","changing"
"85306",2005-09-22,"camp verde","us","changing"
"72232",2000-08-01,"campo","us","changing"
"65506",2005-07-02,"canada",NA,"changing"
"51073",2007-05-06,"canadensis","us","changing"
"51982",2003-06-11,"canberra (australia)","au","changing"
"32192",1999-02-28,"cancun (mexico)",NA,"changing"
"31760",2006-02-25,"canoga park","us","changing"
"12132",2000-01-01,"canouan (caranage bay resort) (grenadine islands)",NA,"changing"
"35945",2001-03-19,"canterbury","us","changing"
"14752",2008-11-27,"canton","us","changing"
"69976",2008-07-05,"canton","us","changing"
"84593",2012-09-20,"canton","us","changing"
"54898",2004-06-15,"canyon lake (near)",NA,"changing"
"56976",2013-06-22,"cape charles","us","changing"
"28138",2011-01-08,"cape coral","us","changing"
"78000",2008-08-29,"cape may","us","changing"
"60237",1998-06-07,"caracas&#44 d.f. (venezuela)",NA,"changing"
"83277",1994-09-16,"carbonado","us","changing"
"6675",1998-10-03,"carbondale","us","changing"
"13862",1998-11-23,"carbondale","us","changing"
"32085",2008-02-27,"cardiff",NA,"changing"
"61296",2008-07-11,"cardiff (uk/wales)","gb","changing"
"55706",2012-06-18,"carr (west of)","us","changing"
"62143",2005-07-12,"carrol stream",NA,"changing"
"11763",2002-11-19,"carrollton","us","changing"
"35649",2005-03-17,"carrollton","us","changing"
"67991",2005-07-31,"carver","us","changing"
"8378",2010-01-10,"cary","us","changing"
"68781",2004-07-04,"casselberry","us","changing"
"87472",2002-09-03,"cathedral city","us","changing"
"70933",2009-07-08,"cave city","us","changing"
"17049",2007-11-06,"cedar","us","changing"
"45310",2012-04-07,"cedar park","us","changing"
"70004",2009-07-05,"cedar park","us","changing"
"88645",2003-09-09,"cedar rapids","us","changing"
"41187",2006-04-15,"cedarville (4 to 5 miles east of&#44 on u. s. 42)","us","changing"
"7427",2006-10-06,"centerville","us","changing"
"9459",2011-01-11,"centre hall","us","changing"
"86443",2013-09-26,"centreville","us","changing"
"61332",2010-07-11,"ceres","us","changing"
"909",2006-10-01,"cerrillos",NA,"changing"
"4973",2006-10-25,"champaign","us","changing"
"75850",2002-08-21,"champaign","us","changing"
"15208",2011-11-29,"chandler","us","changing"
"44018",2012-04-28,"chandler","us","changing"
"81578",2000-09-01,"channing/littlefield (385 between)",NA,"changing"
"19192",1999-12-01,"chanute &amp; humbolt (between)",NA,"changing"
"53260",2005-06-01,"charleston","us","changing"
"60311",2005-06-07,"charleston","us","changing"
"19686",2007-12-12,"charlotte","us","changing"
"19780",2013-12-12,"charlotte","us","changing"
"21924",2011-12-02,"charlotte","us","changing"
"51033",2004-05-06,"charlotte","us","changing"
"63392",1999-07-15,"charlotte","us","changing"
"70504",1999-07-07,"charlotte","us","changing"
"3567",2005-10-20,"chateauguay (canada)","ca","changing"
"86067",2005-09-25,"chateauguay (canada)","ca","changing"
"56212",2008-06-20,"chatsworth","us","changing"
"14926",2006-11-28,"chattanooga","us","changing"
"75491",1998-08-20,"chechauoene (morocco)",NA,"changing"
"51177",1999-05-07,"cherry grove (fire island)","us","changing"
"60603",2013-06-08,"cherry hill","us","changing"
"65042",2007-07-20,"chesapeake","us","changing"
"25888",2008-01-27,"cheshire (uk/england)","gb","changing"
"30204",2013-02-17,"chester","us","changing"
